	Gene name	Gene	Tissue	Cell type	Level	Reliability
0	PDCD5	ENSG00000105185	adipose tissue	adipocytes	Low	Enhanced
1	PDCD5	ENSG00000105185	adrenal gland	glandular cells	Medium	Enhanced
2	PDCD5	ENSG00000105185	appendix	glandular cells	Medium	Enhanced
3	PDCD5	ENSG00000105185	appendix	lymphoid tissue	Low	Enhanced
4	PDCD5	ENSG00000105185	bone marrow	hematopoietic cells	Medium	Enhanced
5	PDCD5	ENSG00000105185	breast	adipocytes	Low	Enhanced
6	PDCD5	ENSG00000105185	breast	glandular cells	Medium	Enhanced
7	PDCD5	ENSG00000105185	breast	myoepithelial cells	Low	Enhanced
8	PDCD5	ENSG00000105185	bronchus	respiratory epithelial cells	Medium	Enhanced
9	PDCD5	ENSG00000105185	caudate	glial cells	Not detected	Enhanced
10	PDCD5	ENSG00000105185	caudate	neuronal cells	Not detected	Enhanced
11	PDCD5	ENSG00000105185	cerebellum	cells in granular layer	Not detected	Enhanced
12	PDCD5	ENSG00000105185	cerebellum	cells in molecular layer	Not detected	Enhanced
13	PDCD5	ENSG00000105185	cerebellum	Purkinje cells	Not detected	Enhanced
14	PDCD5	ENSG00000105185	cerebral cortex	endothelial cells	Not detected	Enhanced
15	PDCD5	ENSG00000105185	cerebral cortex	glial cells	Not detected	Enhanced
16	PDCD5	ENSG00000105185	cerebral cortex	neuronal cells	Low	Enhanced
17	PDCD5	ENSG00000105185	cerebral cortex	neuropil	Not detected	Enhanced
18	PDCD5	ENSG00000105185	cervix, uterine	glandular cells	Not detected	Enhanced
19	PDCD5	ENSG00000105185	cervix, uterine	squamous epithelial cells	Not detected	Enhanced
20	PDCD5	ENSG00000105185	colon	endothelial cells	Medium	Enhanced
21	PDCD5	ENSG00000105185	colon	glandular cells	Medium	Enhanced
22	PDCD5	ENSG00000105185	colon	peripheral nerve/ganglion	Medium	Enhanced
23	PDCD5	ENSG00000105185	duodenum	glandular cells	Medium	Enhanced
24	PDCD5	ENSG00000105185	endometrium 1	cells in endometrial stroma	Not detected	Enhanced
25	PDCD5	ENSG00000105185	endometrium 1	glandular cells	Low	Enhanced
26	PDCD5	ENSG00000105185	endometrium 2	cells in endometrial stroma	Not detected	Enhanced
27	PDCD5	ENSG00000105185	endometrium 2	glandular cells	Medium	Enhanced
28	PDCD5	ENSG00000105185	epididymis	glandular cells	Not detected	Enhanced
29	PDCD5	ENSG00000105185	esophagus	squamous epithelial cells	Low	Enhanced
30	PDCD5	ENSG00000105185	fallopian tube	glandular cells	Medium	Enhanced
31	PDCD5	ENSG00000105185	gallbladder	glandular cells	Medium	Enhanced
32	PDCD5	ENSG00000105185	heart muscle	cardiomyocytes	Not detected	Enhanced
33	PDCD5	ENSG00000105185	hippocampus	glial cells	Not detected	Enhanced
34	PDCD5	ENSG00000105185	hippocampus	neuronal cells	Not detected	Enhanced
35	PDCD5	ENSG00000105185	kidney	cells in glomeruli	Not detected	Enhanced
36	PDCD5	ENSG00000105185	kidney	cells in tubules	Low	Enhanced
37	PDCD5	ENSG00000105185	liver	cholangiocytes	Not detected	Enhanced
38	PDCD5	ENSG00000105185	liver	hepatocytes	Not detected	Enhanced
39	PDCD5	ENSG00000105185	lung	alveolar cells	Not detected	Enhanced
40	PDCD5	ENSG00000105185	lung	macrophages	Medium	Enhanced
41	PDCD5	ENSG00000105185	lymph node	non-germinal center cells	Low	Enhanced
42	PDCD5	ENSG00000105185	nasopharynx	respiratory epithelial cells	Low	Enhanced
43	PDCD5	ENSG00000105185	oral mucosa	squamous epithelial cells	Medium	Enhanced
44	PDCD5	ENSG00000105185	ovary	follicle cells	Low	Enhanced
45	PDCD5	ENSG00000105185	ovary	ovarian stroma cells	Medium	Enhanced
46	PDCD5	ENSG00000105185	pancreas	exocrine glandular cells	Low	Enhanced
47	PDCD5	ENSG00000105185	pancreas	pancreatic endocrine cells	Low	Enhanced
48	PDCD5	ENSG00000105185	parathyroid gland	glandular cells	Medium	Enhanced
49	PDCD5	ENSG00000105185	placenta	trophoblastic cells	Medium	Enhanced
50	PDCD5	ENSG00000105185	prostate	glandular cells	Not detected	Enhanced
51	PDCD5	ENSG00000105185	rectum	glandular cells	Medium	Enhanced
52	PDCD5	ENSG00000105185	salivary gland	glandular cells	Low	Enhanced
53	PDCD5	ENSG00000105185	seminal vesicle	glandular cells	Low	Enhanced
54	PDCD5	ENSG00000105185	skeletal muscle	myocytes	Not detected	Enhanced
55	PDCD5	ENSG00000105185	skin 1	fibroblasts	Medium	Enhanced
56	PDCD5	ENSG00000105185	skin 1	keratinocytes	Low	Enhanced
57	PDCD5	ENSG00000105185	skin 1	Langerhans	Not detected	Enhanced
58	PDCD5	ENSG00000105185	skin 1	melanocytes	Medium	Enhanced
59	PDCD5	ENSG00000105185	skin 2	epidermal cells	Low	Enhanced
60	PDCD5	ENSG00000105185	small intestine	glandular cells	Medium	Enhanced
61	PDCD5	ENSG00000105185	smooth muscle	smooth muscle cells	Not detected	Enhanced
62	PDCD5	ENSG00000105185	soft tissue 1	fibroblasts	Low	Enhanced
63	PDCD5	ENSG00000105185	soft tissue 1	peripheral nerve	Medium	Enhanced
64	PDCD5	ENSG00000105185	soft tissue 2	fibroblasts	Low	Enhanced
65	PDCD5	ENSG00000105185	soft tissue 2	peripheral nerve	Medium	Enhanced
66	PDCD5	ENSG00000105185	spleen	cells in red pulp	Not detected	Enhanced
67	PDCD5	ENSG00000105185	spleen	cells in white pulp	Low	Enhanced
68	PDCD5	ENSG00000105185	stomach 1	glandular cells	Low	Enhanced
69	PDCD5	ENSG00000105185	stomach 2	glandular cells	Medium	Enhanced
70	PDCD5	ENSG00000105185	testis	elongated or late spermatids	High	Enhanced
71	PDCD5	ENSG00000105185	testis	Leydig cells	Medium	Enhanced
72	PDCD5	ENSG00000105185	testis	pachytene spermatocytes	High	Enhanced
73	PDCD5	ENSG00000105185	testis	peritubular cells	Not detected	Enhanced
74	PDCD5	ENSG00000105185	testis	preleptotene spermatocytes	Medium	Enhanced
75	PDCD5	ENSG00000105185	testis	round or early spermatids	Medium	Enhanced
76	PDCD5	ENSG00000105185	testis	sertoli cells	Not detected	Enhanced
77	PDCD5	ENSG00000105185	testis	spermatogonia cells	High	Enhanced
78	PDCD5	ENSG00000105185	thyroid gland	glandular cells	Low	Enhanced
79	PDCD5	ENSG00000105185	tonsil	germinal center cells	Medium	Enhanced
80	PDCD5	ENSG00000105185	tonsil	non-germinal center cells	Medium	Enhanced
81	PDCD5	ENSG00000105185	tonsil	squamous epithelial cells	Medium	Enhanced
82	PDCD5	ENSG00000105185	urinary bladder	urothelial cells	Medium	Enhanced
83	PDCD5	ENSG00000105185	vagina	squamous epithelial cells	Not detected	Enhanced
84	AURKA	ENSG00000087586	adipose tissue	adipocytes	Not detected	Enhanced
85	AURKA	ENSG00000087586	adrenal gland	glandular cells	Not detected	Enhanced
86	AURKA	ENSG00000087586	appendix	glandular cells	Low	Enhanced
87	AURKA	ENSG00000087586	appendix	lymphoid tissue	Low	Enhanced
88	AURKA	ENSG00000087586	bone marrow	hematopoietic cells	Low	Enhanced
89	AURKA	ENSG00000087586	breast	adipocytes	Not detected	Enhanced
90	AURKA	ENSG00000087586	breast	glandular cells	Not detected	Enhanced
91	AURKA	ENSG00000087586	breast	myoepithelial cells	Not detected	Enhanced
92	AURKA	ENSG00000087586	bronchus	respiratory epithelial cells	Low	Enhanced
93	AURKA	ENSG00000087586	caudate	glial cells	Not detected	Enhanced
94	AURKA	ENSG00000087586	caudate	neuronal cells	Not detected	Enhanced
95	AURKA	ENSG00000087586	cerebellum	cells in granular layer	Not detected	Enhanced
96	AURKA	ENSG00000087586	cerebellum	cells in molecular layer	Not detected	Enhanced
97	AURKA	ENSG00000087586	cerebellum	Purkinje cells	Not detected	Enhanced
98	AURKA	ENSG00000087586	cerebral cortex	endothelial cells	Not detected	Enhanced
99	AURKA	ENSG00000087586	cerebral cortex	glial cells	Not detected	Enhanced
100	AURKA	ENSG00000087586	cerebral cortex	neuronal cells	Not detected	Enhanced
101	AURKA	ENSG00000087586	cerebral cortex	neuropil	Not detected	Enhanced
102	AURKA	ENSG00000087586	cervix, uterine	glandular cells	Not detected	Enhanced
103	AURKA	ENSG00000087586	cervix, uterine	squamous epithelial cells	Low	Enhanced
104	AURKA	ENSG00000087586	colon	endothelial cells	Not detected	Enhanced
105	AURKA	ENSG00000087586	colon	glandular cells	Low	Enhanced
106	AURKA	ENSG00000087586	colon	peripheral nerve/ganglion	Not detected	Enhanced
107	AURKA	ENSG00000087586	duodenum	glandular cells	Not detected	Enhanced
108	AURKA	ENSG00000087586	endometrium 1	cells in endometrial stroma	Low	Enhanced
109	AURKA	ENSG00000087586	endometrium 1	glandular cells	Low	Enhanced
110	AURKA	ENSG00000087586	endometrium 2	cells in endometrial stroma	Low	Enhanced
111	AURKA	ENSG00000087586	endometrium 2	glandular cells	Not detected	Enhanced
112	AURKA	ENSG00000087586	epididymis	glandular cells	Not detected	Enhanced
113	AURKA	ENSG00000087586	esophagus	squamous epithelial cells	Low	Enhanced
114	AURKA	ENSG00000087586	fallopian tube	glandular cells	Not detected	Enhanced
115	AURKA	ENSG00000087586	gallbladder	glandular cells	Not detected	Enhanced
116	AURKA	ENSG00000087586	heart muscle	cardiomyocytes	Not detected	Enhanced
117	AURKA	ENSG00000087586	hippocampus	glial cells	Not detected	Enhanced
118	AURKA	ENSG00000087586	hippocampus	neuronal cells	Not detected	Enhanced
119	AURKA	ENSG00000087586	kidney	cells in glomeruli	Not detected	Enhanced
120	AURKA	ENSG00000087586	kidney	cells in tubules	Low	Enhanced
121	AURKA	ENSG00000087586	liver	cholangiocytes	Not detected	Enhanced
122	AURKA	ENSG00000087586	liver	hepatocytes	Low	Enhanced
123	AURKA	ENSG00000087586	lung	alveolar cells	Not detected	Enhanced
124	AURKA	ENSG00000087586	lung	macrophages	Low	Enhanced
125	AURKA	ENSG00000087586	lymph node	germinal center cells	Low	Enhanced
126	AURKA	ENSG00000087586	lymph node	non-germinal center cells	Low	Enhanced
127	AURKA	ENSG00000087586	nasopharynx	respiratory epithelial cells	Low	Enhanced
128	AURKA	ENSG00000087586	oral mucosa	squamous epithelial cells	Low	Enhanced
129	AURKA	ENSG00000087586	ovary	ovarian stroma cells	Not detected	Enhanced
130	AURKA	ENSG00000087586	pancreas	exocrine glandular cells	Not detected	Enhanced
131	AURKA	ENSG00000087586	pancreas	pancreatic endocrine cells	Not detected	Enhanced
132	AURKA	ENSG00000087586	parathyroid gland	glandular cells	Not detected	Enhanced
133	AURKA	ENSG00000087586	placenta	decidual cells	Not detected	Enhanced
134	AURKA	ENSG00000087586	placenta	trophoblastic cells	Not detected	Enhanced
135	AURKA	ENSG00000087586	prostate	glandular cells	Not detected	Enhanced
136	AURKA	ENSG00000087586	rectum	glandular cells	Low	Enhanced
137	AURKA	ENSG00000087586	salivary gland	glandular cells	Not detected	Enhanced
138	AURKA	ENSG00000087586	seminal vesicle	glandular cells	Not detected	Enhanced
139	AURKA	ENSG00000087586	skeletal muscle	myocytes	Not detected	Enhanced
140	AURKA	ENSG00000087586	skin 1	fibroblasts	Not detected	Enhanced
141	AURKA	ENSG00000087586	skin 1	keratinocytes	Not detected	Enhanced
142	AURKA	ENSG00000087586	skin 1	Langerhans	Not detected	Enhanced
143	AURKA	ENSG00000087586	skin 1	melanocytes	Not detected	Enhanced
144	AURKA	ENSG00000087586	skin 2	epidermal cells	Not detected	Enhanced
145	AURKA	ENSG00000087586	small intestine	glandular cells	Not detected	Enhanced
146	AURKA	ENSG00000087586	smooth muscle	smooth muscle cells	Not detected	Enhanced
147	AURKA	ENSG00000087586	soft tissue 1	fibroblasts	Not detected	Enhanced
148	AURKA	ENSG00000087586	soft tissue 1	peripheral nerve	Not detected	Enhanced
