	Gene name	Gene	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
0	PDCD5	ENSG00000105185	breast cancer	1.0	6.0	3.0	2.0		0.1041		
1	PDCD5	ENSG00000105185	carcinoid	2.0	0.0	0.0	2.0				
2	PDCD5	ENSG00000105185	cervical cancer	0.0	2.0	3.0	6.0		0.2084		
3	PDCD5	ENSG00000105185	colorectal cancer	0.0	6.0	2.0	4.0		0.09646		
4	PDCD5	ENSG00000105185	endometrial cancer	0.0	2.0	1.0	8.0			0.0002595	
5	PDCD5	ENSG00000105185	glioma	0.0	3.0	4.0	3.0		0.2023		
6	PDCD5	ENSG00000105185	head and neck cancer	2.0	1.0	0.0	1.0				0.08639
7	PDCD5	ENSG00000105185	liver cancer	0.0	1.0	2.0	9.0				0.003637
8	PDCD5	ENSG00000105185	lung cancer	0.0	0.0	3.0	8.0				0.02427
9	PDCD5	ENSG00000105185	lymphoma	0.0	8.0	1.0	3.0				
10	PDCD5	ENSG00000105185	melanoma	0.0	7.0	3.0	1.0				0.06216
11	PDCD5	ENSG00000105185	ovarian cancer	1.0	1.0	4.0	6.0		0.08494		
12	PDCD5	ENSG00000105185	pancreatic cancer	0.0	8.0	0.0	3.0				0.03866
13	PDCD5	ENSG00000105185	prostate cancer	1.0	7.0	4.0	0.0				0.01932
14	PDCD5	ENSG00000105185	renal cancer	0.0	3.0	3.0	5.0			0.0	
15	PDCD5	ENSG00000105185	skin cancer	0.0	5.0	4.0	2.0				
16	PDCD5	ENSG00000105185	stomach cancer	0.0	7.0	2.0	2.0		0.06001		
17	PDCD5	ENSG00000105185	testis cancer	4.0	4.0	1.0	3.0		0.03347		
18	PDCD5	ENSG00000105185	thyroid cancer	0.0	2.0	2.0	0.0		0.1098		
19	PDCD5	ENSG00000105185	urothelial cancer	2.0	3.0	4.0	3.0		0.09542		
20	AURKA	ENSG00000087586	breast cancer	0.0	0.0	5.0	7.0				0.07728
21	AURKA	ENSG00000087586	carcinoid	0.0	0.0	0.0	4.0				
22	AURKA	ENSG00000087586	cervical cancer	0.0	1.0	6.0	5.0				0.02459
23	AURKA	ENSG00000087586	colorectal cancer	2.0	2.0	2.0	6.0		0.02762		
24	AURKA	ENSG00000087586	endometrial cancer	0.0	0.0	2.0	10.0			9.404e-05	
25	AURKA	ENSG00000087586	glioma	0.0	0.0	3.0	9.0				0.1921
26	AURKA	ENSG00000087586	head and neck cancer	0.0	0.0	3.0	1.0				0.02114
27	AURKA	ENSG00000087586	liver cancer	0.0	0.0	4.0	7.0			0.0001494	
28	AURKA	ENSG00000087586	lung cancer	0.0	1.0	5.0	5.0				0.004692
29	AURKA	ENSG00000087586	lymphoma	2.0	3.0	3.0	4.0				
30	AURKA	ENSG00000087586	melanoma	0.0	0.0	5.0	4.0				0.2424
31	AURKA	ENSG00000087586	ovarian cancer	1.0	1.0	3.0	7.0		0.06883		
32	AURKA	ENSG00000087586	pancreatic cancer	0.0	0.0	2.0	8.0			0.000613	
33	AURKA	ENSG00000087586	prostate cancer	0.0	0.0	1.0	11.0				0.1403
34	AURKA	ENSG00000087586	renal cancer	0.0	0.0	1.0	11.0			1.475e-08	
35	AURKA	ENSG00000087586	skin cancer	0.0	0.0	3.0	7.0				
36	AURKA	ENSG00000087586	stomach cancer	0.0	2.0	5.0	5.0		0.1673		
37	AURKA	ENSG00000087586	testis cancer	0.0	1.0	6.0	5.0				0.06828
38	AURKA	ENSG00000087586	thyroid cancer	0.0	0.0	0.0	4.0				0.09003
39	AURKA	ENSG00000087586	urothelial cancer	0.0	2.0	6.0	4.0				0.05137
40	HNRNPA2B1	ENSG00000122566	breast cancer	12.0	0.0	0.0	0.0		0.1193		
41	HNRNPA2B1	ENSG00000122566	carcinoid	2.0	1.0	1.0	0.0				
42	HNRNPA2B1	ENSG00000122566	cervical cancer	10.0	2.0	0.0	0.0				0.4449
43	HNRNPA2B1	ENSG00000122566	colorectal cancer	9.0	3.0	0.0	0.0		0.2334		
44	HNRNPA2B1	ENSG00000122566	endometrial cancer	6.0	3.0	2.0	0.0		0.06392		
45	HNRNPA2B1	ENSG00000122566	glioma	11.0	1.0	0.0	0.0		0.05638		
46	HNRNPA2B1	ENSG00000122566	head and neck cancer	2.0	2.0	0.0	0.0				0.008044
47	HNRNPA2B1	ENSG00000122566	liver cancer	8.0	1.0	0.0	3.0			1.028e-06	
48	HNRNPA2B1	ENSG00000122566	lung cancer	8.0	1.0	1.0	1.0				0.01246
49	HNRNPA2B1	ENSG00000122566	lymphoma	11.0	1.0	0.0	0.0				
50	HNRNPA2B1	ENSG00000122566	melanoma	10.0	2.0	0.0	0.0				0.009122
51	HNRNPA2B1	ENSG00000122566	ovarian cancer	7.0	5.0	0.0	0.0		0.004349		
52	HNRNPA2B1	ENSG00000122566	pancreatic cancer	11.0	1.0	0.0	0.0				0.1307
53	HNRNPA2B1	ENSG00000122566	prostate cancer	12.0	0.0	0.0	0.0			0.0005118	
54	HNRNPA2B1	ENSG00000122566	renal cancer	2.0	6.0	1.0	3.0			8.008e-05	
55	HNRNPA2B1	ENSG00000122566	skin cancer	9.0	3.0	0.0	0.0				
56	HNRNPA2B1	ENSG00000122566	stomach cancer	10.0	1.0	0.0	0.0		0.06741		
57	HNRNPA2B1	ENSG00000122566	testis cancer	2.0	5.0	5.0	0.0		0.03356		
58	HNRNPA2B1	ENSG00000122566	thyroid cancer	2.0	1.0	0.0	0.0		0.2023		
59	HNRNPA2B1	ENSG00000122566	urothelial cancer	5.0	4.0	1.0	2.0		0.01564		
60	ADRB2	ENSG00000169252	breast cancer	0.0	0.0	2.0	7.0		0.02283		
61	ADRB2	ENSG00000169252	carcinoid	0.0	0.0	2.0	2.0				
62	ADRB2	ENSG00000169252	cervical cancer	0.0	0.0	1.0	10.0		0.1498		
63	ADRB2	ENSG00000169252	colorectal cancer	0.0	0.0	5.0	5.0				0.1212
64	ADRB2	ENSG00000169252	endometrial cancer	0.0	0.0	0.0	12.0		0.01166		
65	ADRB2	ENSG00000169252	glioma	0.0	0.0	0.0	12.0		0.1689		
66	ADRB2	ENSG00000169252	head and neck cancer	0.0	0.0	0.0	3.0		0.117		
67	ADRB2	ENSG00000169252	liver cancer	0.0	0.0	0.0	12.0		0.009352		
68	ADRB2	ENSG00000169252	lung cancer	0.0	0.0	0.0	12.0		0.05543		
69	ADRB2	ENSG00000169252	lymphoma	0.0	0.0	1.0	11.0				
70	ADRB2	ENSG00000169252	melanoma	0.0	0.0	0.0	12.0				0.2337
71	ADRB2	ENSG00000169252	ovarian cancer	0.0	0.0	0.0	11.0				0.09852
72	ADRB2	ENSG00000169252	pancreatic cancer	1.0	0.0	0.0	11.0		0.03173		
73	ADRB2	ENSG00000169252	prostate cancer	0.0	6.0	5.0	0.0				0.2234
74	ADRB2	ENSG00000169252	renal cancer	0.0	1.0	0.0	10.0	3.15e-09			
75	ADRB2	ENSG00000169252	skin cancer	0.0	0.0	0.0	12.0				
76	ADRB2	ENSG00000169252	stomach cancer	0.0	0.0	0.0	11.0				0.01553
77	ADRB2	ENSG00000169252	testis cancer	0.0	0.0	2.0	10.0				0.1455
78	ADRB2	ENSG00000169252	thyroid cancer	0.0	0.0	0.0	4.0		0.1491		
79	ADRB2	ENSG00000169252	urothelial cancer	0.0	1.0	0.0	11.0		0.07648		
80	UXT	ENSG00000126756	breast cancer	2.0	10.0	0.0	0.0		0.112		
81	UXT	ENSG00000126756	carcinoid	0.0	3.0	0.0	1.0				
82	UXT	ENSG00000126756	cervical cancer	1.0	3.0	6.0	1.0		0.003849		
83	UXT	ENSG00000126756	colorectal cancer	1.0	6.0	3.0	0.0		0.09077		
84	UXT	ENSG00000126756	endometrial cancer	0.0	1.0	2.0	9.0		0.02093		
85	UXT	ENSG00000126756	glioma	1.0	6.0	2.0	3.0		0.21		
86	UXT	ENSG00000126756	head and neck cancer	0.0	4.0	0.0	0.0		0.223		
87	UXT	ENSG00000126756	liver cancer	0.0	7.0	2.0	3.0				0.04489
88	UXT	ENSG00000126756	lung cancer	3.0	5.0	3.0	0.0		0.1238		
89	UXT	ENSG00000126756	lymphoma	8.0	1.0	2.0	1.0				
90	UXT	ENSG00000126756	melanoma	3.0	5.0	1.0	2.0		0.1973		
91	UXT	ENSG00000126756	ovarian cancer	1.0	7.0	3.0	0.0		0.00231		
92	UXT	ENSG00000126756	pancreatic cancer	1.0	8.0	0.0	1.0		0.01123		
93	UXT	ENSG00000126756	prostate cancer	0.0	5.0	4.0	2.0		0.1167		
94	UXT	ENSG00000126756	renal cancer	2.0	8.0	2.0	0.0				0.02557
95	UXT	ENSG00000126756	skin cancer	1.0	8.0	1.0	1.0				
96	UXT	ENSG00000126756	stomach cancer	0.0	10.0	1.0	1.0				0.1438
97	UXT	ENSG00000126756	testis cancer	2.0	5.0	3.0	2.0		0.08113		
98	UXT	ENSG00000126756	thyroid cancer	2.0	2.0	0.0	0.0		0.08635		
99	UXT	ENSG00000126756	urothelial cancer	3.0	9.0	0.0	0.0		0.00409		
100	HNRNPD	ENSG00000138668	breast cancer	7.0	1.0	2.0	0.0		0.009595		
101	HNRNPD	ENSG00000138668	carcinoid	1.0	1.0	1.0	0.0				
102	HNRNPD	ENSG00000138668	cervical cancer	10.0	2.0	0.0	0.0		0.01011		
103	HNRNPD	ENSG00000138668	colorectal cancer	11.0	1.0	0.0	0.0		0.09089		
104	HNRNPD	ENSG00000138668	endometrial cancer	8.0	2.0	1.0	0.0				0.2655
105	HNRNPD	ENSG00000138668	glioma	8.0	2.0	0.0	0.0		0.1737		
106	HNRNPD	ENSG00000138668	head and neck cancer	3.0	0.0	1.0	0.0				0.1773
107	HNRNPD	ENSG00000138668	liver cancer	8.0	2.0	0.0	1.0				0.001028
108	HNRNPD	ENSG00000138668	lung cancer	9.0	2.0	0.0	1.0				0.0175
109	HNRNPD	ENSG00000138668	lymphoma	10.0	0.0	0.0	0.0				
110	HNRNPD	ENSG00000138668	melanoma	8.0	1.0	0.0	2.0				0.06229
111	HNRNPD	ENSG00000138668	ovarian cancer	8.0	2.0	1.0	1.0		0.02058		
112	HNRNPD	ENSG00000138668	pancreatic cancer	9.0	2.0	0.0	0.0				0.01081
113	HNRNPD	ENSG00000138668	prostate cancer	1.0	3.0	5.0	3.0				0.01035
114	HNRNPD	ENSG00000138668	renal cancer	4.0	2.0	4.0	1.0				0.01404
115	HNRNPD	ENSG00000138668	skin cancer	9.0	1.0	1.0	0.0				
116	HNRNPD	ENSG00000138668	stomach cancer	7.0	4.0	1.0	0.0		0.05932		
117	HNRNPD	ENSG00000138668	testis cancer	12.0	0.0	0.0	0.0		0.1083		
118	HNRNPD	ENSG00000138668	thyroid cancer	3.0	1.0	0.0	0.0				0.2813
119	HNRNPD	ENSG00000138668	urothelial cancer	12.0	0.0	0.0	0.0		0.01306		
120	COL4A1	ENSG00000187498	breast cancer	0.0	0.0	4.0	4.0				0.03822
121	COL4A1	ENSG00000187498	carcinoid	0.0	0.0	2.0	2.0				
122	COL4A1	ENSG00000187498	cervical cancer	0.0	0.0	1.0	11.0			0.0004675	
123	COL4A1	ENSG00000187498	colorectal cancer	0.0	0.0	9.0	2.0				0.2271
124	COL4A1	ENSG00000187498	endometrial cancer	0.0	0.0	10.0	2.0				0.1022
125	COL4A1	ENSG00000187498	glioma	0.0	0.0	2.0	9.0				0.3285
126	COL4A1	ENSG00000187498	head and neck cancer	0.0	0.0	3.0	1.0		0.2397		
127	COL4A1	ENSG00000187498	liver cancer	0.0	2.0	5.0	5.0				0.1096
128	COL4A1	ENSG00000187498	lung cancer	0.0	1.0	6.0	4.0				0.006507
129	COL4A1	ENSG00000187498	lymphoma	0.0	0.0	0.0	12.0				
130	COL4A1	ENSG00000187498	melanoma	0.0	3.0	3.0	2.0				0.0106
131	COL4A1	ENSG00000187498	ovarian cancer	0.0	1.0	4.0	6.0		0.09794		
132	COL4A1	ENSG00000187498	pancreatic cancer	0.0	1.0	2.0	8.0				0.01726
133	COL4A1	ENSG00000187498	prostate cancer	0.0	0.0	3.0	9.0		0.1214		
134	COL4A1	ENSG00000187498	renal cancer	0.0	1.0	4.0	7.0			1.3e-07	
135	COL4A1	ENSG00000187498	skin cancer	0.0	0.0	3.0	8.0				
136	COL4A1	ENSG00000187498	stomach cancer	0.0	1.0	1.0	10.0				0.001465
137	COL4A1	ENSG00000187498	testis cancer	0.0	1.0	8.0	3.0				0.01721
138	COL4A1	ENSG00000187498	thyroid cancer	0.0	1.0	2.0	1.0				0.1577
139	COL4A1	ENSG00000187498	urothelial cancer	0.0	2.0	5.0	5.0				0.01158
140	CLU	ENSG00000120885	breast cancer	0.0	2.0	1.0	8.0				0.01097
141	CLU	ENSG00000120885	carcinoid	0.0	1.0	0.0	3.0				
142	CLU	ENSG00000120885	cervical cancer	0.0	0.0	0.0	12.0		0.01815		
143	CLU	ENSG00000120885	colorectal cancer	0.0	0.0	1.0	11.0				0.00114
144	CLU	ENSG00000120885	endometrial cancer	2.0	4.0	5.0	1.0				0.02739
145	CLU	ENSG00000120885	glioma	0.0	5.0	2.0	5.0				0.05589
146	CLU	ENSG00000120885	head and neck cancer	0.0	0.0	0.0	4.0		0.04132		
147	CLU	ENSG00000120885	liver cancer	0.0	1.0	2.0	8.0		0.01762		
148	CLU	ENSG00000120885	lung cancer	0.0	0.0	0.0	10.0		0.2373		
149	CLU	ENSG00000120885	lymphoma	1.0	0.0	1.0	9.0				
150	CLU	ENSG00000120885	melanoma	0.0	0.0	0.0	9.0		0.1458		
151	CLU	ENSG00000120885	ovarian cancer	0.0	2.0	2.0	8.0		0.1053		
152	CLU	ENSG00000120885	pancreatic cancer	0.0	0.0	0.0	11.0		0.02872		
153	CLU	ENSG00000120885	prostate cancer	0.0	0.0	4.0	7.0		0.1413		
154	CLU	ENSG00000120885	renal cancer	0.0	0.0	2.0	9.0		0.01804		
155	CLU	ENSG00000120885	skin cancer	0.0	0.0	0.0	11.0				
156	CLU	ENSG00000120885	stomach cancer	0.0	0.0	1.0	10.0				0.02328
157	CLU	ENSG00000120885	testis cancer	0.0	0.0	0.0	11.0		0.1724		
158	CLU	ENSG00000120885	thyroid cancer	0.0	0.0	2.0	2.0	7.655e-05			
159	CLU	ENSG00000120885	urothelial cancer	0.0	0.0	1.0	11.0				0.0529
160	RPS3	ENSG00000149273	breast cancer	0.0	7.0	4.0	0.0		0.03615		
161	RPS3	ENSG00000149273	carcinoid	0.0	0.0	1.0	3.0				
162	RPS3	ENSG00000149273	cervical cancer	1.0	3.0	8.0	0.0				0.006937
163	RPS3	ENSG00000149273	colorectal cancer	0.0	9.0	2.0	0.0				0.2637
164	RPS3	ENSG00000149273	endometrial cancer	0.0	11.0	1.0	0.0		0.01442		
165	RPS3	ENSG00000149273	glioma	0.0	1.0	6.0	4.0		0.0555		
166	RPS3	ENSG00000149273	head and neck cancer	0.0	2.0	2.0	0.0				0.01084
167	RPS3	ENSG00000149273	liver cancer	0.0	5.0	5.0	0.0				0.01218
168	RPS3	ENSG00000149273	lung cancer	0.0	5.0	4.0	1.0				0.1347
169	RPS3	ENSG00000149273	lymphoma	0.0	0.0	3.0	7.0				
170	RPS3	ENSG00000149273	melanoma	0.0	3.0	8.0	0.0				0.2689
171	RPS3	ENSG00000149273	ovarian cancer	0.0	5.0	7.0	0.0				0.05752
172	RPS3	ENSG00000149273	pancreatic cancer	0.0	8.0	1.0	0.0				0.003272
173	RPS3	ENSG00000149273	prostate cancer	0.0	4.0	6.0	1.0				0.196
174	RPS3	ENSG00000149273	renal cancer	0.0	3.0	6.0	1.0			6.923e-06	
175	RPS3	ENSG00000149273	skin cancer	0.0	6.0	1.0	3.0				
176	RPS3	ENSG00000149273	stomach cancer	0.0	7.0	3.0	0.0		0.3216		
177	RPS3	ENSG00000149273	testis cancer	0.0	9.0	1.0	0.0		0.2941		
178	RPS3	ENSG00000149273	thyroid cancer	0.0	1.0	1.0	0.0		0.01886		
179	RPS3	ENSG00000149273	urothelial cancer	0.0	6.0	4.0	0.0		0.2191		
180	CCT3	ENSG00000163468	breast cancer	5.0	5.0	0.0	0.0				0.02143
181	CCT3	ENSG00000163468	carcinoid	1.0	1.0	2.0	0.0				
182	CCT3	ENSG00000163468	cervical cancer	3.0	7.0	2.0	0.0				0.0032
183	CCT3	ENSG00000163468	colorectal cancer	4.0	8.0	0.0	0.0				0.1664
184	CCT3	ENSG00000163468	endometrial cancer	5.0	6.0	0.0	0.0				0.006002
185	CCT3	ENSG00000163468	glioma	3.0	6.0	1.0	0.0		0.008394		
186	CCT3	ENSG00000163468	head and neck cancer	1.0	0.0	3.0	0.0				0.003143
187	CCT3	ENSG00000163468	liver cancer	5.0	6.0	1.0	0.0			3.87e-07	
188	CCT3	ENSG00000163468	lung cancer	1.0	7.0	3.0	1.0				0.004433
189	CCT3	ENSG00000163468	lymphoma	6.0	5.0	1.0	0.0				
190	CCT3	ENSG00000163468	melanoma	1.0	6.0	5.0	0.0		0.2777		
191	CCT3	ENSG00000163468	ovarian cancer	1.0	5.0	4.0	0.0		0.1159		
192	CCT3	ENSG00000163468	pancreatic cancer	3.0	6.0	3.0	0.0				0.05441
193	CCT3	ENSG00000163468	prostate cancer	9.0	3.0	0.0	0.0				0.1742
194	CCT3	ENSG00000163468	renal cancer	0.0	1.0	2.0	8.0			0.0006337	
195	CCT3	ENSG00000163468	skin cancer	0.0	9.0	3.0	0.0				
196	CCT3	ENSG00000163468	stomach cancer	1.0	7.0	3.0	0.0		0.07162		
197	CCT3	ENSG00000163468	testis cancer	3.0	6.0	3.0	0.0		0.05761		
198	CCT3	ENSG00000163468	thyroid cancer	0.0	3.0	1.0	0.0		0.05668		
199	CCT3	ENSG00000163468	urothelial cancer	1.0	7.0	4.0	0.0				0.1096
200	HIF3A	ENSG00000124440	breast cancer	0.0	11.0	0.0	0.0		0.09197		
201	HIF3A	ENSG00000124440	carcinoid	2.0	2.0	0.0	0.0				
202	HIF3A	ENSG00000124440	cervical cancer	2.0	9.0	1.0	0.0				0.2992
203	HIF3A	ENSG00000124440	colorectal cancer	2.0	9.0	0.0	0.0				0.05483
204	HIF3A	ENSG00000124440	endometrial cancer	3.0	5.0	3.0	1.0			6.905e-09	
205	HIF3A	ENSG00000124440	glioma	2.0	9.0	0.0	0.0				0.04122
206	HIF3A	ENSG00000124440	head and neck cancer	1.0	3.0	0.0	0.0		0.02348		
207	HIF3A	ENSG00000124440	liver cancer	3.0	6.0	3.0	0.0		0.003571		
208	HIF3A	ENSG00000124440	lung cancer	0.0	7.0	4.0	1.0				0.1296
209	HIF3A	ENSG00000124440	lymphoma	0.0	12.0	0.0	0.0				
210	HIF3A	ENSG00000124440	melanoma	3.0	8.0	1.0	0.0				0.03318
